,control_category,control_code,control_name,document,control_text_corrected,full_control_text
0,organisation of information security (ois),OIS-01,information security management system (isms),c5,"Basic criterion: The cloud service provider operates an Information Security Management System (ISMS) in accordance with ISO/IEC 27001. The scope of the ISMS covers the cloud service provider's organizational units, locations, and procedures for providing the cloud service. The measures for setting up, implementing, maintaining, and continuously improving the ISMS are documented. The documentation includes: scope of the ISMS (Section 4.3 of ISO/IEC 27001), declaration of applicability (Section 6.1.3), and results of the last management review (Section 9.3).

Additional criterion: The Information Security Management System (ISMS) has a valid certification according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz.

Supplementary information about the criterion: The basic criterion can also be fulfilled without a valid certification of the ISMS according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz if the submitted documentation meets the requirements of ISO/IEC 27001.

Complementary customer criterion: Notes on continuous auditing feasibility: Partially, a continuous audit of the ISO 27001 certificate is partially feasible because the existence of a certificate can be continuously verified through the creation date of the certificate and passing an authenticity check. However, the certificate is usually issued for three years, and there will be no dynamic changes as a rule.","Organisation of information security (ois). Information security management system (isms). Basic criterion: The cloud service provider operates an Information Security Management System (ISMS) in accordance with ISO/IEC 27001. The scope of the ISMS covers the cloud service provider's organizational units, locations, and procedures for providing the cloud service. The measures for setting up, implementing, maintaining, and continuously improving the ISMS are documented. The documentation includes: scope of the ISMS (Section 4.3 of ISO/IEC 27001), declaration of applicability (Section 6.1.3), and results of the last management review (Section 9.3).

Additional criterion: The Information Security Management System (ISMS) has a valid certification according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz.

Supplementary information about the criterion: The basic criterion can also be fulfilled without a valid certification of the ISMS according to ISO/IEC 27001 or ISO 27001 based on IT-Grundschutz if the submitted documentation meets the requirements of ISO/IEC 27001.

Complementary customer criterion: Notes on continuous auditing feasibility: Partially, a continuous audit of the ISO 27001 certificate is partially feasible because the existence of a certificate can be continuously verified through the creation date of the certificate and passing an authenticity check. However, the certificate is usually issued for three years, and there will be no dynamic changes as a rule."
1,organisation of information security (ois),OIS-02,information security policy,c5,"Basic criterion: The top management of the cloud service provider has adopted an information security policy and communicated it to internal and external employees, as well as cloud customers. The policy describes the following:

- The importance of information security, based on the requirements of cloud customers in relation to information security.
- The security objectives and desired security level, based on the business goals and tasks of the cloud service provider.
- The most important aspects of the security strategy to achieve the set security objectives.
- The organizational structure for information security in the ISMS application area.

Additional criterion:

Supplementary information about the criterion: The top management refers to a natural person or group of persons who make the final decisions for the institution and are responsible for those decisions.

Complementary customer criterion:

Notes on continuous auditing feasibility: 
Partially, a policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically.","Organisation of information security (ois). Information security policy. Basic criterion: The top management of the cloud service provider has adopted an information security policy and communicated it to internal and external employees, as well as cloud customers. The policy describes the following:

- The importance of information security, based on the requirements of cloud customers in relation to information security.
- The security objectives and desired security level, based on the business goals and tasks of the cloud service provider.
- The most important aspects of the security strategy to achieve the set security objectives.
- The organizational structure for information security in the ISMS application area.

Additional criterion:

Supplementary information about the criterion: The top management refers to a natural person or group of persons who make the final decisions for the institution and are responsible for those decisions.

Complementary customer criterion:

Notes on continuous auditing feasibility: 
Partially, a policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
2,organisation of information security (ois),OIS-03,interfaces and dependencies,c5,"Basic criterion: Interfaces and dependencies between cloud service delivery activities performed by the cloud service provider and activities performed by third parties are documented and communicated. This includes dealing with the following events: vulnerabilities, security incidents, and malfunctions. The type and scope of the documentation is geared towards the information requirements of the subject matter experts of the affected organizations in order to carry out the activities appropriately (e.g., definition of roles and responsibilities in guidelines, description of cooperation obligations in service descriptions and contracts). The communication of changes to the interfaces and dependencies takes place in a timely manner so that the affected organizations and third parties can react appropriately with organizational and technical measures before the changes take effect.

Additional criterion: Supplementary information about the criterion. The cloud service provider can define and document the interfaces and dependencies described in the basic criterion in guidelines and instructions. For example, cloud customers’ obligations to cooperate should be described in service descriptions and contracts. 

Third parties in the sense of this basic criterion are, e.g., cloud customers and sub-service providers.

Complementary customer criterion: Cloud customers ensure through suitable controls that the guidelines and requirements for compliance with the contractual agreements with the cloud service provider (i.e., responsibilities, cooperation obligations, and interfaces for reporting security incidents) are adequately defined, documented, and set up.

Notes on continuous auditing feasibility: No, an automated continuous audit for critical dependencies and interfaces is currently only possible at a high cost to the cloud service provider.","Organisation of information security (ois). Interfaces and dependencies. Basic criterion: Interfaces and dependencies between cloud service delivery activities performed by the cloud service provider and activities performed by third parties are documented and communicated. This includes dealing with the following events: vulnerabilities, security incidents, and malfunctions. The type and scope of the documentation is geared towards the information requirements of the subject matter experts of the affected organizations in order to carry out the activities appropriately (e.g., definition of roles and responsibilities in guidelines, description of cooperation obligations in service descriptions and contracts). The communication of changes to the interfaces and dependencies takes place in a timely manner so that the affected organizations and third parties can react appropriately with organizational and technical measures before the changes take effect.

Additional criterion: Supplementary information about the criterion. The cloud service provider can define and document the interfaces and dependencies described in the basic criterion in guidelines and instructions. For example, cloud customers’ obligations to cooperate should be described in service descriptions and contracts. 

Third parties in the sense of this basic criterion are, e.g., cloud customers and sub-service providers.

Complementary customer criterion: Cloud customers ensure through suitable controls that the guidelines and requirements for compliance with the contractual agreements with the cloud service provider (i.e., responsibilities, cooperation obligations, and interfaces for reporting security incidents) are adequately defined, documented, and set up.

Notes on continuous auditing feasibility: No, an automated continuous audit for critical dependencies and interfaces is currently only possible at a high cost to the cloud service provider."
3,organisation of information security (ois),OIS-04,segregation of duties,c5,"Basic criterion: Conflicting tasks and responsibilities are separated based on an OIS-06 risk assessment to reduce the risk of unauthorized or unintended changes or misuse of cloud customer data processed, stored, or transmitted in the cloud service. The risk assessment covers the following areas, insofar as these are applicable to the provision of the cloud service and are in the area of responsibility of the cloud service provider: 

Administration of rights profiles, approval and assignment of access and access authorizations (cf. IDM-01)
Development, testing, and release of changes (cf. DEV-01)
Operation of the system components. 

If separation cannot be established for organizational or technical reasons, measures are in place to monitor the activities in order to detect unauthorized or unintended changes as well as misuse and to take appropriate actions. 

Additional criterion: 

Supplementary information about the criterion identified events that may constitute unauthorized or unintentional changes to or misuse of cloud customer data may, for example, be treated as a security incident (cf. SIM-01). 

Complementary customer criterion: 

Notes on continuous auditing feasibility: 

Yes, continuous audit is possible, especially in the case of changes to role profiles and responsibilities. This would require an initial check of the defined roles and responsibilities by the cloud service provider. The roles that are added or changed on a monthly basis could then be automated and continuously checked.","Organisation of information security (ois). Segregation of duties. Basic criterion: Conflicting tasks and responsibilities are separated based on an OIS-06 risk assessment to reduce the risk of unauthorized or unintended changes or misuse of cloud customer data processed, stored, or transmitted in the cloud service. The risk assessment covers the following areas, insofar as these are applicable to the provision of the cloud service and are in the area of responsibility of the cloud service provider: 

Administration of rights profiles, approval and assignment of access and access authorizations (cf. IDM-01)
Development, testing, and release of changes (cf. DEV-01)
Operation of the system components. 

If separation cannot be established for organizational or technical reasons, measures are in place to monitor the activities in order to detect unauthorized or unintended changes as well as misuse and to take appropriate actions. 

Additional criterion: 

Supplementary information about the criterion identified events that may constitute unauthorized or unintentional changes to or misuse of cloud customer data may, for example, be treated as a security incident (cf. SIM-01). 

Complementary customer criterion: 

Notes on continuous auditing feasibility: 

Yes, continuous audit is possible, especially in the case of changes to role profiles and responsibilities. This would require an initial check of the defined roles and responsibilities by the cloud service provider. The roles that are added or changed on a monthly basis could then be automated and continuously checked."
4,organisation of information security (ois),OIS-05,contact with relevant government agencies and interest groups,c5,"Basic criterion: The cloud service provider leverages relevant authorities and interest groups in order to stay informed about current threats and vulnerabilities. The information flows into the procedures for handling risks (cf. OIS-06) and vulnerabilities (cf. OPS-19). 

Additional criterion: If the cloud service is used by public sector organizations in Germany, the cloud service provider leverages contacts with the National IT Situation Centre and the CERT Association of the BSI. 

Supplementary information about the criterion: Relevant contacts are, for example, the Federal Office for Information Security (BSI), OWASP Foundation, and CERT networks such as DFN-CERT and TF-CSIRT. 

Public sector organizations in Germany are, for example, authorities and ministries. 

Complementary customer criterion notes on continuous auditing feasibility: Yes, a continuous audit of the cloud service provider's contacts with relevant authorities and stakeholders can be achieved by continuously storing relevant information on a monthly basis, such as a list of contacted entities and evidence of receipt of a response. 

A continuous flow of information demonstrates a constant connection to relevant authorities and interest groups. Furthermore, the distribution of the information and, if necessary, the documentation of the handling of identified risks and vulnerabilities could be continuously audited for the coverage of this criterion.","Organisation of information security (ois). Contact with relevant government agencies and interest groups. Basic criterion: The cloud service provider leverages relevant authorities and interest groups in order to stay informed about current threats and vulnerabilities. The information flows into the procedures for handling risks (cf. OIS-06) and vulnerabilities (cf. OPS-19). 

Additional criterion: If the cloud service is used by public sector organizations in Germany, the cloud service provider leverages contacts with the National IT Situation Centre and the CERT Association of the BSI. 

Supplementary information about the criterion: Relevant contacts are, for example, the Federal Office for Information Security (BSI), OWASP Foundation, and CERT networks such as DFN-CERT and TF-CSIRT. 

Public sector organizations in Germany are, for example, authorities and ministries. 

Complementary customer criterion notes on continuous auditing feasibility: Yes, a continuous audit of the cloud service provider's contacts with relevant authorities and stakeholders can be achieved by continuously storing relevant information on a monthly basis, such as a list of contacted entities and evidence of receipt of a response. 

A continuous flow of information demonstrates a constant connection to relevant authorities and interest groups. Furthermore, the distribution of the information and, if necessary, the documentation of the handling of identified risks and vulnerabilities could be continuously audited for the coverage of this criterion."
5,organisation of information security (ois),OIS-06,risk management policy,c5,"Basic criteria: Policies and instructions for risk management procedures are documented, communicated, and provided in accordance with SP-01. The following aspects should be addressed:

- Identification of risks associated with the loss of confidentiality, integrity, availability, and authenticity of information within the scope of the ISMS and assigning risk owners.
- Analysis of the probability and impact of occurrence and determination of the level of risk.
- Evaluation of the risk analysis based on defined criteria for risk acceptance and prioritization of handling.
- Handling of risks through measures, including approval of authorization and acceptance of residual risks by risk owners.
- Documentation of the activities implemented to enable consistent, valid, and comparable results.

Additional criterion: Supplementary information about the criterion is that the risk level can be determined by qualitative, semi-quantitative, and quantitative methods (cf. ISO 31010) based on the likelihood and impacts.

Complementary customer criterion: Notes on continuous auditing feasibility: Partially, a policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically.","Organisation of information security (ois). Risk management policy. Basic criteria: Policies and instructions for risk management procedures are documented, communicated, and provided in accordance with SP-01. The following aspects should be addressed:

- Identification of risks associated with the loss of confidentiality, integrity, availability, and authenticity of information within the scope of the ISMS and assigning risk owners.
- Analysis of the probability and impact of occurrence and determination of the level of risk.
- Evaluation of the risk analysis based on defined criteria for risk acceptance and prioritization of handling.
- Handling of risks through measures, including approval of authorization and acceptance of residual risks by risk owners.
- Documentation of the activities implemented to enable consistent, valid, and comparable results.

Additional criterion: Supplementary information about the criterion is that the risk level can be determined by qualitative, semi-quantitative, and quantitative methods (cf. ISO 31010) based on the likelihood and impacts.

Complementary customer criterion: Notes on continuous auditing feasibility: Partially, a policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
6,organisation of information security (ois),OIS-07,application of the risk management policy,c5,"Basic criterion: The cloud service provider executes the process for handling risks as needed or at least once a year. The following aspects are taken into account when identifying risks, insofar as they are applicable to the cloud service provided and are within the area of responsibility of the cloud service provider: processing, storage, or transmission of data of cloud customers with different protection needs; occurrence of vulnerabilities and malfunctions in technical protective measures for separating shared resources; attacks via access points, including interfaces accessible from public networks; conflicting tasks and areas of responsibility that cannot be separated for organizational or technical reasons; and dependencies on subservice organizations. The analysis, evaluation, and treatment of risks, including the approval of actions and acceptance of residual risks, are reviewed for adequacy at least annually by the risk owners.

Additional criterion supplementary information about the criterion: This criterion applies only to risks that reside within the area of responsibility of the cloud service provider. Risks that arise for the cloud customer when using the cloud service are not covered by this criterion. When outsourcing activities for the provision of cloud services to subservice organizations, the responsibility for these risks remains with the cloud service provider. Requirements for measures to manage these risks can be found in the criteria area ""Control and monitoring of service providers and suppliers (SSO)"". Shared resources are e.g. networks, RAM, or storage.

Complementary customer criterion notes on continuous auditing feasibility: Partially, the procedure for handling risks must be tested at least once a year and is therefore part of the standard audit cycle. However, the continuous audit of handling risk is only partially feasible as the only attributes that can be tested are the last review date and the status of review or approval, as far as this information is stored in a system. The content of the risks can hardly be tested automatically.

5.2 Security policies and instructions (SP) objective: Provide policies and instructions regarding security requirements and to support business requirements.","Organisation of information security (ois). Application of the risk management policy. Basic criterion: The cloud service provider executes the process for handling risks as needed or at least once a year. The following aspects are taken into account when identifying risks, insofar as they are applicable to the cloud service provided and are within the area of responsibility of the cloud service provider: processing, storage, or transmission of data of cloud customers with different protection needs; occurrence of vulnerabilities and malfunctions in technical protective measures for separating shared resources; attacks via access points, including interfaces accessible from public networks; conflicting tasks and areas of responsibility that cannot be separated for organizational or technical reasons; and dependencies on subservice organizations. The analysis, evaluation, and treatment of risks, including the approval of actions and acceptance of residual risks, are reviewed for adequacy at least annually by the risk owners.

Additional criterion supplementary information about the criterion: This criterion applies only to risks that reside within the area of responsibility of the cloud service provider. Risks that arise for the cloud customer when using the cloud service are not covered by this criterion. When outsourcing activities for the provision of cloud services to subservice organizations, the responsibility for these risks remains with the cloud service provider. Requirements for measures to manage these risks can be found in the criteria area ""Control and monitoring of service providers and suppliers (SSO)"". Shared resources are e.g. networks, RAM, or storage.

Complementary customer criterion notes on continuous auditing feasibility: Partially, the procedure for handling risks must be tested at least once a year and is therefore part of the standard audit cycle. However, the continuous audit of handling risk is only partially feasible as the only attributes that can be tested are the last review date and the status of review or approval, as far as this information is stored in a system. The content of the risks can hardly be tested automatically.

5.2 Security policies and instructions (SP) objective: Provide policies and instructions regarding security requirements and to support business requirements."
7,security policies and instructions (sp),SP-01,"documentation, communication and provision of policies and instructions",c5,"Basic criterion: Policies and instructions (including concepts and guidelines) are derived from the information security policy and are documented according to a uniform structure. They are communicated and made available to all internal and external employees of the cloud service provider in an appropriate manner. The policies and instructions are version controlled and approved by the top management of the cloud service provider or an authorized body. The policies and instructions describe at least the following aspects: objectives; scope; roles and responsibilities, including staff qualification requirements and the establishment of substitution rules; roles and dependencies on other organizations (especially cloud customers and sub-service organizations); steps for the execution of the security strategy; and applicable legal and regulatory requirements.

Additional criterion: Supplementary information about the criterion. The appropriateness of the demand-oriented communication and provision must be assessed against the size and complexity of the cloud service provider's organization and the type of cloud service offered. Possible criteria are: integration of guidelines and instructions in the onboarding of new employees; training and information campaigns when adopting new or revising existing policies and instructions; form of provision.

Policies and instructions are required for the following basic criteria in which the content is specified in more detail: risk management policy (OIS-06); acceptable use and handling of assets policy (AM-02); security requirements for premises and buildings (PS-01); physical site access control (PS-04); concept for protection against malware (OPS-04); concept for data protection and recovery (OPS-06); concept for logging and monitoring (OPS-10); concept for metadata handling (OPS-11); concept for handling of vulnerabilities, malfunctions, and errors (OPS-18); policy for system and data access authorizations (IDM-01); policy for the use of encryption procedures and key management (CRY-01); policies for data transmission (COS-08); policies for the development/procurement of information systems (DEV-01); policies for changes to information systems (DEV-03); policies and instructions for controlling and monitoring third parties (SSO-01); policy for security incident management (SIM-01); business impact analysis policies and procedures (BCM-02); policy for planning and conducting audits (COM-02).

Complementary customer criterion: Notes on continuous auditing feasibility: partially regarding the uniformity and content of the policies and instructions, there is a need for manual testing, so continuous testing cannot be fully achieved. The communication/provision of policies and instructions can be queried via various registers. Registries for all approved policies and instructions can serve as a basis for reviewing the policies/instructions provided in the usual channels and may be combined with a conditional access check. These requirements must first be met by the cloud service provider. Versioning after approval by authorized personnel can be automatically audited and is therefore suitable for continuous audit.","Security policies and instructions (sp). Documentation, communication and provision of policies and instructions. Basic criterion: Policies and instructions (including concepts and guidelines) are derived from the information security policy and are documented according to a uniform structure. They are communicated and made available to all internal and external employees of the cloud service provider in an appropriate manner. The policies and instructions are version controlled and approved by the top management of the cloud service provider or an authorized body. The policies and instructions describe at least the following aspects: objectives; scope; roles and responsibilities, including staff qualification requirements and the establishment of substitution rules; roles and dependencies on other organizations (especially cloud customers and sub-service organizations); steps for the execution of the security strategy; and applicable legal and regulatory requirements.

Additional criterion: Supplementary information about the criterion. The appropriateness of the demand-oriented communication and provision must be assessed against the size and complexity of the cloud service provider's organization and the type of cloud service offered. Possible criteria are: integration of guidelines and instructions in the onboarding of new employees; training and information campaigns when adopting new or revising existing policies and instructions; form of provision.

Policies and instructions are required for the following basic criteria in which the content is specified in more detail: risk management policy (OIS-06); acceptable use and handling of assets policy (AM-02); security requirements for premises and buildings (PS-01); physical site access control (PS-04); concept for protection against malware (OPS-04); concept for data protection and recovery (OPS-06); concept for logging and monitoring (OPS-10); concept for metadata handling (OPS-11); concept for handling of vulnerabilities, malfunctions, and errors (OPS-18); policy for system and data access authorizations (IDM-01); policy for the use of encryption procedures and key management (CRY-01); policies for data transmission (COS-08); policies for the development/procurement of information systems (DEV-01); policies for changes to information systems (DEV-03); policies and instructions for controlling and monitoring third parties (SSO-01); policy for security incident management (SIM-01); business impact analysis policies and procedures (BCM-02); policy for planning and conducting audits (COM-02).

Complementary customer criterion: Notes on continuous auditing feasibility: partially regarding the uniformity and content of the policies and instructions, there is a need for manual testing, so continuous testing cannot be fully achieved. The communication/provision of policies and instructions can be queried via various registers. Registries for all approved policies and instructions can serve as a basis for reviewing the policies/instructions provided in the usual channels and may be combined with a conditional access check. These requirements must first be met by the cloud service provider. Versioning after approval by authorized personnel can be automatically audited and is therefore suitable for continuous audit."
8,security policies and instructions (sp),SP-02,review and approval of policies and instructions,c5,"Basic criterion: Information security policies and instructions are reviewed at least annually for adequacy by the cloud service provider's subject matter experts. The review shall consider at least the following aspects: organizational and technical changes in the procedures for providing the cloud service and legal and regulatory changes in the cloud service provider's environment. Revised policies and instructions are approved before they become effective.

Additional Criterion:
Supplementary information about the criterion:
Complementary customer criterion notes on continuous auditing feasibility:
Partially, a continuous automated audit of the content changes to policies and instructions is only partially practicable at the current state-of-the-art. A continuous audit of the reviewers' authorization and expertise does not appear to be effective either, as this cannot be linked to specified parameters of an automated evaluation. A continuous examination of this criterion could therefore only consist of returning the date of the last examination.","Security policies and instructions (sp). Review and approval of policies and instructions. Basic criterion: Information security policies and instructions are reviewed at least annually for adequacy by the cloud service provider's subject matter experts. The review shall consider at least the following aspects: organizational and technical changes in the procedures for providing the cloud service and legal and regulatory changes in the cloud service provider's environment. Revised policies and instructions are approved before they become effective.

Additional Criterion:
Supplementary information about the criterion:
Complementary customer criterion notes on continuous auditing feasibility:
Partially, a continuous automated audit of the content changes to policies and instructions is only partially practicable at the current state-of-the-art. A continuous audit of the reviewers' authorization and expertise does not appear to be effective either, as this cannot be linked to specified parameters of an automated evaluation. A continuous examination of this criterion could therefore only consist of returning the date of the last examination."
9,security policies and instructions (sp),SP-03,exceptions from existing policies and instructions,c5,"Basic Criterion: Exceptions to the policies and instructions for information security, as well as respective controls, go through the OIS-06 risk management process. This includes the approval of these exceptions and the acceptance of the associated risks by the risk owners. The approvals of exceptions are documented, limited in time, and reviewed for appropriateness at least annually by the risk owners.

Additional Criterion: Supplementary information about the criterion exceptions, in the sense of the basic criterion, can have organizational or technical causes. For example, an organizational unit may need to deviate from the intended processes and procedures to meet the requirements of a cloud customer. Additionally, a system component may lack technical properties to configure it according to the applicable requirements. Cloud customers can use appropriate controls to ensure that they obtain information from the cloud service provider about deviations from information security policies and instructions. This allows them to assess and appropriately manage the associated risks to their own information security.

Complementary Customer Criterion: Notes on continuous auditing feasibility: Partially, exceptions to policies and instructions are to be reviewed annually. However, the continuous audit of these exceptions is only partially feasible, as the only attributes that can be tested are the last change date and the status or review or approval, as far as this information is stored in a system. The content of an exception can hardly be tested automatically.

5.3 Personnel (HR) Objective: Ensure that employees understand their responsibilities, are aware of their responsibilities with regard to information security, and that the organization's assets are protected in the event of changes in responsibilities or termination.","Security policies and instructions (sp). Exceptions from existing policies and instructions. Basic Criterion: Exceptions to the policies and instructions for information security, as well as respective controls, go through the OIS-06 risk management process. This includes the approval of these exceptions and the acceptance of the associated risks by the risk owners. The approvals of exceptions are documented, limited in time, and reviewed for appropriateness at least annually by the risk owners.

Additional Criterion: Supplementary information about the criterion exceptions, in the sense of the basic criterion, can have organizational or technical causes. For example, an organizational unit may need to deviate from the intended processes and procedures to meet the requirements of a cloud customer. Additionally, a system component may lack technical properties to configure it according to the applicable requirements. Cloud customers can use appropriate controls to ensure that they obtain information from the cloud service provider about deviations from information security policies and instructions. This allows them to assess and appropriately manage the associated risks to their own information security.

Complementary Customer Criterion: Notes on continuous auditing feasibility: Partially, exceptions to policies and instructions are to be reviewed annually. However, the continuous audit of these exceptions is only partially feasible, as the only attributes that can be tested are the last change date and the status or review or approval, as far as this information is stored in a system. The content of an exception can hardly be tested automatically.

5.3 Personnel (HR) Objective: Ensure that employees understand their responsibilities, are aware of their responsibilities with regard to information security, and that the organization's assets are protected in the event of changes in responsibilities or termination."
